code_produit,nom_canonique,famille,sous_famille,unites_locales_autorisees,gros,demi_gros,detail,source_de_verite,usage_local
VIV-MAN-001,Attiéké frais,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-002,Attiéké déshydraté,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-003,Attiéké type garba,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-004,Gari blanc,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-005,Gari jaune,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-006,Placali frais,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-007,Pâte de manioc,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-008,Amidon de manioc,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-MAN-009,Semoule de manioc,Produits transformés du manioc,Attiéké et dérivés,"kg, sac, bassine, sachet, tas",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-001,Farine de maïs blanche,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-002,Farine de maïs jaune,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-003,Semoule de maïs,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-004,Farine de mil,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-005,Farine de sorgho,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-006,Farine de fonio,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-007,Farine de manioc,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-TRF-008,Farine d'igname,Produits transformés,Farines et semoules,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-ARA-001,Pâte d'arachide,Produits transformés,Arachide transformée,"kg, pot, sachet, litre, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-ARA-002,Poudre d'arachide,Produits transformés,Arachide transformée,"kg, pot, sachet, litre, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-ARA-003,Arachide grillée salée,Produits transformés,Arachide transformée,"kg, pot, sachet, litre, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-ARA-004,Huile artisanale d'arachide,Produits transformés,Arachide transformée,"kg, pot, sachet, litre, bouteille",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-001,Tomate séchée,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-002,Champignon séché,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-003,Feuilles séchées,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-004,Manioc séché,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-005,Cossettes de manioc,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-006,Piment séché moulu,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-SEC-007,Gombo séché moulu,Produits séchés,Produits vivriers séchés,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CHA-001,Champignon local frais,Champignons,Champignons,"kg, barquette, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CHA-002,Pleurote frais,Champignons,Champignons,"kg, barquette, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CHA-003,Champignon séché,Champignons,Champignons,"kg, barquette, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-NOI-001,Noix de cajou brute,Noix et graines,Noix,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-NOI-002,Noix de cajou décortiquée,Noix et graines,Noix,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-NOI-003,Noix de cajou grillée,Noix et graines,Noix,"kg, sac, sachet",Oui,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CAN-001,Canne à sucre,Produits complémentaires,Canne et miel,"unité, botte, litre, pot",Non,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
VIV-CAN-002,Miel local,Produits complémentaires,Canne et miel,"unité, botte, litre, pot",Non,Oui,Oui,Odoo,cache offline JULABA + aliases voix + unites locales
