PROVISIONAL_KEY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NOTE,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,VALIDATION_NATIVE_REQUISE,RISK_NOTE
PROVISIONAL_FRM_NUMBER_038,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-huit,trente-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_039,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trente-neuf,trente-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_040,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante,quarante,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_041,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante et un,quarante et un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_042,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-deux,quarante-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_043,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-trois,quarante-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_044,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-quatre,quarante-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_045,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-cinq,quarante-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_046,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-six,quarante-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_047,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-sept,quarante-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_048,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-huit,quarante-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_049,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quarante-neuf,quarante-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_050,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante,cinquante,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_051,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante et un,cinquante et un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_052,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-deux,cinquante-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_053,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-trois,cinquante-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_054,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-quatre,cinquante-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_055,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-cinq,cinquante-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_056,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-six,cinquante-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_057,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-sept,cinquante-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_058,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-huit,cinquante-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_059,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinquante-neuf,cinquante-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_060,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante,soixante,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_061,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante et un,soixante et un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_062,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-deux,soixante-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_063,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-trois,soixante-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_064,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-quatre,soixante-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_065,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-cinq,soixante-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_066,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-six,soixante-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_067,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-sept,soixante-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_068,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-huit,soixante-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_069,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-neuf,soixante-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_070,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-dix,soixante-dix,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_071,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante et onze,soixante et onze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_072,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-douze,soixante-douze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_073,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-treize,soixante-treize,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_074,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-quatorze,soixante-quatorze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_075,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-quinze,soixante-quinze,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_076,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-seize,soixante-seize,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_077,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-dix-sept,soixante-dix-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_078,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-dix-huit,soixante-dix-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_079,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,soixante-dix-neuf,soixante-dix-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_080,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingts,quatre-vingts,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_081,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-un,quatre-vingt-un,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_082,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-deux,quatre-vingt-deux,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_083,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-trois,quatre-vingt-trois,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_084,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-quatre,quatre-vingt-quatre,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_085,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-cinq,quatre-vingt-cinq,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_086,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-six,quatre-vingt-six,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_087,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-sept,quatre-vingt-sept,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_088,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-huit,quatre-vingt-huit,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_089,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-neuf,quatre-vingt-neuf,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
PROVISIONAL_FRM_NUMBER_090,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre-vingt-dix,quatre-vingt-dix,,,DRAFT,Aucun texte Dida n’est livré : « Dida » couvre plusieurs langues/variétés et aucune variété cible n’est précisée. Choisir la variété et faire valider par des locutrices natives avant toute rédaction ou intégration.,Dida,a-confirmer,"Non précisée — choisir avant rédaction : Lakota [dic], Yocoboué [gud], Guébie [gie] ou Neyo [ney].",true,
