LOT,ID,TYPE,CRITIQUE_ARGENT,FR_ACTUEL,VARIABLES,VARIABLES_IMPLICITES,FR_STT_VARIANTS,DIOULA,DIOULA_VARIANTES_STT,VALIDE_PAR,STATUT,NOTES_MANUS,NOTES_CLAUDE
2-DECOR,AUTH_006,TTS_OUTPUT,non,Retour aux chiffres.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_007,TTS_OUTPUT,non,C'est fait. Je m'adapte à toi.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_008,TTS_OUTPUT,non,"Pour que je puisse t'écouter, je vérifie ma voix. Touche le bouton, ou tape ton numéro.",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_009,TTS_OUTPUT,non,"{prenom}, veux-tu que Tata Nanti Lou te reconnaisse la prochaine fois ? Ce sera plus rapide.",prenom,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_01,TTS_OUTPUT,non,"Bonjour ma fille. Moi, c'est Tata Nanti Lou. Viens, je vais te montrer.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Premier accueil. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_010,TTS_OUTPUT,non,"C'est fait ! La prochaine fois, ton téléphone te reconnaîtra.",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_011,TTS_OUTPUT,non,"Ta session a expiré. Reconnecte-toi, puis on réessaiera.",,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_012,TTS_OUTPUT,non,Ça n'a pas marché ici. Tu pourras réessayer plus tard dans les réglages.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_013,TTS_OUTPUT,non,retour,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_014,TTS_OUTPUT,non,accueil,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_015,TTS_OUTPUT,non,Code correct. Action confirmée,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_016,TTS_OUTPUT,non,Code incorrect. {attempts} tentative(s) restante(s),attempts,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_017,TTS_OUTPUT,non,"Version {version}, {build}",version build,,,,,,A_TRADUIRE,,"Diagnostic : la version de l'application, dite au toucher du pied de page (recette). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_02,TTS_OUTPUT,non,"Eh, ma fille ! Te voilà. On continue ?",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Retour. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_03,TTS_OUTPUT,non,"Chaque vente, tu la mets ici. Comme ça, tu n'oublies rien, et tes comptes sont là.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Présenter son aide. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_04,TTS_OUTPUT,non,"Bon, pour commencer, appuie ici.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Commencer. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_05,TTS_OUTPUT,non,Mets ton numéro de téléphone ici.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Demander le numéro. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_06,TTS_OUTPUT,non,Tu peux aussi me le dire. Appuie sur le micro d'abord.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Proposer la voix. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_07,TTS_OUTPUT,non,"Dis les chiffres doucement doucement, un par un.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Expliquer la dictée. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_08,TTS_OUTPUT,non,Tu veux réécouter ? Appuie ici.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Écouter le numéro saisi. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_09,TTS_OUTPUT,non,C'est bien ton numéro ? Appuie ici pour continuer.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Confirmer. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_10,TTS_OUTPUT,non,"Tu t'es trompée ? C'est rien, y'a pas problème. Appuie ici pour effacer.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Corriger. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_11,TTS_OUTPUT,non,Il manque encore des chiffres. Continue.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Numéro incomplet. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_12,TTS_OUTPUT,non,"Regarde bien, il y a un chiffre qui ne va pas.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Numéro invalide. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_13,TTS_OUTPUT,non,"Je n'ai pas bien entendu. Redis-le, doucement.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Dictée mal comprise. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_14,TTS_OUTPUT,non,"Si tu veux, tape ton numéro ici.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Proposer le clavier. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_15,TTS_OUTPUT,non,"Pour que je t'entende, appuie sur Autoriser.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Autorisation du micro. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_16,TTS_OUTPUT,non,Le micro ne marche pas là. Tape ton numéro ici.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Micro indisponible. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_17,TTS_OUTPUT,non,"C'est bon. Appuie sur le micro, et parle.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Micro disponible. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_18,TTS_OUTPUT,non,"Attends un peu, je regarde.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Vérification. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_19,TTS_OUTPUT,non,"Bon, mets les quatre chiffres de ton code.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Code en chiffres. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_20,TTS_OUTPUT,non,"Appuie sur tes quatre images, une par une, dans l'ordre.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Code en images. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_21,TTS_OUTPUT,non,Voilà les images à la place des chiffres. Ton code n'a pas changé.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Passage aux images. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_22,TTS_OUTPUT,non,Et voilà les chiffres. Mets ton code comme avant.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Retour aux chiffres. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_23,TTS_OUTPUT,non,"Ton code, c'est pour toi seule. Faut pas le dire à quelqu'un.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Discrétion. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_24,TTS_OUTPUT,non,C'est effacé.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Effacement. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_25,TTS_OUTPUT,non,Appuie ici. Ton téléphone va te dire quoi faire.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Entrer avec le téléphone. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_26,TTS_OUTPUT,non,Ça n'a pas marché. On fait avec ton code.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Reconnaissance échouée. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_27,TTS_OUTPUT,non,"Ce n'est pas toi ? Y'a pas problème, appuie ici pour mettre ton numéro.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Autre personne sur le téléphone. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_28,TTS_OUTPUT,non,Le numéro ou le code n'est pas bon. Regarde bien pour reprendre.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Numéro ou code incorrect. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_29,TTS_OUTPUT,non,"Attention, il te reste un seul essai. Prends ton temps.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Dernier essai. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_30,TTS_OUTPUT,non,Tu as essayé trop de fois. Attends un peu avant de reprendre.,,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Trop de tentatives. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_31,TTS_OUTPUT,non,"Ma fille, là c'est bloqué. Faut voir ton agent pour t'aider.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Accès bloqué. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_32,TTS_OUTPUT,non,"Eh, ça ne passe pas là. Réessaie dans un petit moment.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Connexion impossible. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_33,TTS_OUTPUT,non,"Ça prend un peu de temps. Patiente, je réessaie.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Nouvelle tentative automatique. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_34,TTS_OUTPUT,non,"Maintenant, choisis ton propre code. C'est pour toi seule.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Changement de code. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_35,TTS_OUTPUT,non,"D'accord, on va faire comme ça.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Choix enregistré. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_36,TTS_OUTPUT,non,"D'accord, on continue comme avant.",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Choix conservé. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,AUTH_37,TTS_OUTPUT,non,"Voilà, ma fille. On y va !",,,,,,,A_TRADUIRE,,"Script à enregistrer — moment : Fin de l'accueil. Une traduction dioula de TRAVAIL (texteDyu, non validée) existe dans le fichier ; Manus tranche. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,BO_001,TTS_OUTPUT,non,Bonjour {prenom}. Vous êtes connecté en tant que {role}. Il y a {nouveauxCount} ticket{s} en attente. Comment puis-je vous aider ?,prenom role nouveauxCount s,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,BO_002,TTS_OUTPUT,non,Vous avez {unreadCount} notifications non lues. {édiate},unreadCount,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_001,TTS_OUTPUT,non,Alertes basses ignorées,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_002,TTS_OUTPUT,non,Au revoir. Déconnexion du Back-Office.,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_003,TTS_OUTPUT,non,Besoin mis à jour,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_004,TTS_OUTPUT,non,Bienvenue sur le terminal de vente. Ajoute tes produits au panier,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_005,TTS_OUTPUT,non,Bonjour ! Tu veux écrire ou parler avec moi ?,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_006,TTS_OUTPUT,non,Bonne réponse !,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_007,TTS_OUTPUT,non,Ce client a droit à sa récompense !,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_008,TTS_OUTPUT,non,Chargement du document en cours,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
2-DECOR,CLIP_UI_009,TTS_OUTPUT,non,Choisissez un nouveau document,,,,,,,A_TRADUIRE,,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
