"priorite","id","domaine","argent","variables","francais_actuel","FRANCAIS_IVOIRIEN","PROPOSE_DOCX","SOURCE_DOCX","ALERTE"
"4","CLIP_UI_109","moteur_vocal","oui","","Retour au choix du montant","","","",""
"4","CLIP_UI_111","moteur_vocal","oui","","Retrait confirmé ! Ton solde a été mis à jour.","","Le retrait est passé net ! Le nouveau point de ton argent est affiché.","Retrait réussi (WithdrawWalletModal.tsx)",""
"4","CLIP_UI_114","moteur_vocal","oui","","Saisir un autre montant","","","",""
"4","CLIP_UI_116","moteur_vocal","oui","","Saisis une quantité valide","","","",""
"4","CLIP_UI_118","moteur_vocal","oui","","Solde insuffisant","","Ton argent ne suffit pas pour faire ce retrait.","Manque d'argent (WithdrawWalletModal.tsx)",""
"4","CORE_ERR_03","moteur_vocal","oui","","Dis oui pour valider, ou non pour annuler.","","Dis oui pour confirmer, ou bien dis non pour laisser tomber.","CORE_ERR_03 · Choix oui/non",""
"4","CLIP_UI_001","moteur_vocal","","","Alertes basses ignorées","","","",""
"4","CLIP_UI_002","moteur_vocal","","","Au revoir. Déconnexion du Back-Office.","","","",""
"4","CLIP_UI_003","moteur_vocal","","","Besoin mis à jour","","","",""
"4","CLIP_UI_004","moteur_vocal","","","Bienvenue sur le terminal de vente. Ajoute tes produits au panier","","","",""
"4","CLIP_UI_005","moteur_vocal","","","Bonjour ! Tu veux écrire ou parler avec moi ?","","","",""
"4","CLIP_UI_006","moteur_vocal","","","Bonne réponse !","","","",""
"4","CLIP_UI_007","moteur_vocal","","","Ce client a droit à sa récompense !","","","",""
"4","CLIP_UI_008","moteur_vocal","","","Chargement du document en cours","","","",""
"4","CLIP_UI_009","moteur_vocal","","","Choisissez un nouveau document","","","",""
"4","CLIP_UI_010","moteur_vocal","","","Combien tu as en caisse ce matin ?","","Combien tu as trouvé dans ta caisse ce matin pour démarrer le marché ?","Contrôle matin (RoleDashboard.tsx)",""
"4","CLIP_UI_011","moteur_vocal","","","Commande annulée","","","",""
"4","CLIP_UI_012","moteur_vocal","","","Commande marquée comme livrée","","","",""
"4","CLIP_UI_013","moteur_vocal","","","Commande refusée.","","","",""
"4","CLIP_UI_014","moteur_vocal","","","Commandes livrées","","","",""
"4","CLIP_UI_015","moteur_vocal","","","Commandes urgentes","","","",""
"4","CLIP_UI_016","moteur_vocal","","","Connexion refusée. Vérifie tes identifiants.","","","",""
"4","CLIP_UI_017","moteur_vocal","","","Connexion rétablie","","","",""
"4","CLIP_UI_018","moteur_vocal","","","Contact mis à jour","","","",""
"4","CLIP_UI_019","moteur_vocal","","","Contre-offre refusée.","","","",""
"4","CLIP_UI_020","moteur_vocal","","","Contre-proposition envoyée","","","",""
"4","CLIP_UI_021","moteur_vocal","","","Création de plantation agricole","","","",""
"4","CLIP_UI_022","moteur_vocal","","","Création en cours...","","","",""
"4","CLIP_UI_023","moteur_vocal","","","Demande acceptée","","","",""
"4","CLIP_UI_024","moteur_vocal","","","Demande refusée","","","",""
"4","CLIP_UI_025","moteur_vocal","","","Document chargé avec succès. En attente de vérification","","","",""
"4","CLIP_UI_026","moteur_vocal","","","Document sauvegardé avec succès","","","",""
"4","CLIP_UI_027","moteur_vocal","","","Document supprimé","","","",""
"4","CLIP_UI_028","moteur_vocal","","","Document tourné","","","",""
"4","CLIP_UI_029","moteur_vocal","","","Début de la formation","","","",""
"4","CLIP_UI_030","moteur_vocal","","","Déclaration de récolte","","","",""
"4","CLIP_UI_031","moteur_vocal","","","Déclarer une récolte","","","",""
"4","CLIP_UI_032","moteur_vocal","","","Déconnexion en cours","","","",""
"4","CLIP_UI_033","moteur_vocal","","","Dépense de","","","",""
"4","CLIP_UI_034","moteur_vocal","","","Dépense enregistrée","","","",""
"4","CLIP_UI_035","moteur_vocal","","","Entre ton code secret à 4 chiffres","","","",""
"4","CLIP_UI_038","moteur_vocal","","","Erreur de synchronisation. Fiche sauvegardée localement.","","","",""
"4","CLIP_UI_039","moteur_vocal","","","Erreur lors de l'enregistrement","","","",""
"4","CLIP_UI_040","moteur_vocal","","","Erreur lors de l'enregistrement de la vente","","","",""
"4","CLIP_UI_042","moteur_vocal","","","Erreur lors de la modification","","","",""
"4","CLIP_UI_043","moteur_vocal","","","Erreur lors de la publication","","","",""
"4","CLIP_UI_044","moteur_vocal","","","Erreur lors de la publication, réessaie","","","",""
"4","CLIP_UI_045","moteur_vocal","","","Erreur lors du rechargement","","","",""
"4","CLIP_UI_046","moteur_vocal","","","Erreur lors du retrait","","","",""
"4","CLIP_UI_047","moteur_vocal","","","Erreur réseau. Réessaie.","","","",""
"4","CLIP_UI_048","moteur_vocal","","","Erreur, réessaie","","","",""
"4","CLIP_UI_049","moteur_vocal","","","Export en cours","","","",""
"4","CLIP_UI_050","moteur_vocal","","","Fiche mise à jour","","","",""
"4","CLIP_UI_051","moteur_vocal","","","Fiche mise à jour et synchronisée","","","",""
"4","CLIP_UI_052","moteur_vocal","","","Format de fichier invalide. Utilise une image.","","","",""
"4","CLIP_UI_053","moteur_vocal","","","Identité mise à jour","","","",""
"4","CLIP_UI_054","moteur_vocal","","","Image trop lourde. Maximum 2 mégaoctets.","","","",""
"4","CLIP_UI_055","moteur_vocal","","","Indique le nom du produit","","","",""
"4","CLIP_UI_056","moteur_vocal","","","Informations personnelles enregistrées avec succès","","","",""
"4","CLIP_UI_057","moteur_vocal","","","J'ai compris","","","",""
"4","CLIP_UI_058","moteur_vocal","","","Je n'ai pas compris. Tape ton numéro, ou réessaie.","","","",""
"4","CLIP_UI_060","moteur_vocal","","","La commande du marchand a été acceptée.","","","",""
"4","CLIP_UI_061","moteur_vocal","","","La quantité doit être supérieure à zéro","","","",""
"4","CLIP_UI_067","moteur_vocal","","","Le produit a été retiré de votre marketplace.","","","",""
"4","CLIP_UI_068","moteur_vocal","","","Le stock disponible ne peut pas dépasser la quantité totale de la récolte","","","",""
"4","CLIP_UI_069","moteur_vocal","","","Livraison déclarée. Le marchand va confirmer la réception.","","","",""
"4","CLIP_UI_070","moteur_vocal","","","Ma Plantation","","","",""
"4","CLIP_UI_071","moteur_vocal","","","Mes revenus","","","",""
"4","CLIP_UI_072","moteur_vocal","","","Mes récoltes","","","",""
"4","CLIP_UI_073","moteur_vocal","","","Mode hors ligne","","","",""
"4","CLIP_UI_074","moteur_vocal","","","Mode édition activé","","","",""
"4","CLIP_UI_075","moteur_vocal","","","Modification en cours...","","","",""
"4","CLIP_UI_076","moteur_vocal","","","Modifications annulées","","","",""
"4","CLIP_UI_077","moteur_vocal","","","Modifier la récolte","","","",""
"4","CLIP_UI_078","moteur_vocal","","","Mon Historique de ventes","","","",""
"4","CLIP_UI_079","moteur_vocal","","","Mon Marché","","","",""
"4","CLIP_UI_082","moteur_vocal","","","Numéro Mobile Money invalide. Dix chiffres requis","","","",""
"4","CLIP_UI_083","moteur_vocal","","","Numéro de téléphone invalide. Format attendu : 07XXXXXXXX","","Le numéro de téléphone n'est pas bon. Faut mettre les dix chiffres comme 07XXXXXXXX.","Téléphone crédit faux (CreditModal.tsx)",""
"4","CLIP_UI_084","moteur_vocal","","","Ouverture de ton Wallet Jùlaba","","","",""
"4","CLIP_UI_087","moteur_vocal","","","Ouverture des détails de la certification JULABA","","","",""
"4","CLIP_UI_088","moteur_vocal","","","Ouverture du Wallet Jùlaba","","","",""
"4","CLIP_UI_089","moteur_vocal","","","Ouvre le formulaire de rechargement Mobile Money","","","",""
"4","CLIP_UI_090","moteur_vocal","","","Ouvre le formulaire de retrait Mobile Money","","","",""
"4","CLIP_UI_091","moteur_vocal","","","Ouvre ta journée pour activer ta caisse","","","",""
"4","CLIP_UI_092","moteur_vocal","","","Paiement confirmé ! Ton Keiwa est rechargé.","","L'argent est bien rentré ! Ton compte Keiwa est chargé net.","Keiwa rechargé (RechargeWalletModal.tsx)",""
"4","CLIP_UI_093","moteur_vocal","","","Paiement en cours — confirme sur ton téléphone","","Le transfert est lancé — faut valider avec ton code secret sur ton téléphone.","Confirmation tel (WithdrawWalletModal.tsx)",""
"4","CLIP_UI_094","moteur_vocal","","","Paiement récupéré ! L'argent est dans ton Keiwa.","","","",""
"4","CLIP_UI_095","moteur_vocal","","","Paramètres sauvegardés","","","",""
"4","CLIP_UI_097","moteur_vocal","","","Photo modifiée","","","",""
"4","CLIP_UI_098","moteur_vocal","","","Plantation créée avec succès !","","","",""
"4","CLIP_UI_100","moteur_vocal","","","Problème avec le micro — réessaie","","","",""
"4","CLIP_UI_101","moteur_vocal","","","Publication en cours...","","","",""
"4","CLIP_UI_102","moteur_vocal","","","Publication modifiée avec succès !","","","",""
"4","CLIP_UI_103","moteur_vocal","","","Publication sur le marché en cours","","","",""
"4","CLIP_UI_104","moteur_vocal","","","Quantité invalide","","","",""
"4","CLIP_UI_106","moteur_vocal","","","Recharger votre keiwa","","","",""
"4","CLIP_UI_107","moteur_vocal","","","Remplis tous les champs obligatoires","","","",""
"4","CLIP_UI_110","moteur_vocal","","","Retour au choix du service","","","",""
"4","CLIP_UI_112","moteur_vocal","","","Réception confirmée. Passons au paiement.","","","",""
"4","CLIP_UI_113","moteur_vocal","","","Récolte publiée avec succès !","","","",""
"4","CLIP_UI_115","moteur_vocal","","","Saisis le nom du produit","","","",""
"4","CLIP_UI_117","moteur_vocal","","","Signalement de problème","","","",""
"4","CLIP_UI_119","moteur_vocal","","","Suivre une nouvelle plantation","","","",""
"4","CLIP_UI_120","moteur_vocal","","","Ta demande a été envoyée","","","",""
"4","CLIP_UI_121","moteur_vocal","","","Ton streak a été réinitialisé","","","",""
"4","CLIP_UI_122","moteur_vocal","","","Ton streak est sauvé grâce au bouclier !","","","",""
"4","CLIP_UI_123","moteur_vocal","","","Toute ta production est au-dessus du seuil. Tout va bien !","","","",""
"4","CLIP_UI_124","moteur_vocal","","","Toutes les commandes","","","",""
"4","CLIP_UI_125","moteur_vocal","","","Trop de tentatives incorrectes. Réessaie dans 5 minutes.","","","",""
"4","CLIP_UI_126","moteur_vocal","","","Tu vas être redirigé vers Wave pour confirmer le paiement","","L'application t'envoie sur Wave pour taper ton code et valider le paiement.","Redirection Wave (RechargeWalletModal.tsx)",""
"4","CLIP_UI_127","moteur_vocal","","","Téléchargement de la carte","","","",""
"4","CLIP_UI_128","moteur_vocal","","","Vente confirmée","","","",""
"4","CLIP_UI_129","moteur_vocal","","","Vente refusée","","","",""
"4","CLIP_UI_130","moteur_vocal","","","Verso de la carte","","","",""
"4","CLIP_UI_131","moteur_vocal","","","Voici tes céréales en production","","","",""
"4","CLIP_UI_132","moteur_vocal","","","Voici tes fruits en production","","","",""
"4","CLIP_UI_133","moteur_vocal","","","Voici tes légumes en production","","","",""
"4","CLIP_UI_134","moteur_vocal","","","Voici tes tubercules en production","","","",""
"4","CLIP_UI_135","moteur_vocal","","","Voici tous tes produits en production","","","",""
"4","CLIP_UI_136","moteur_vocal","","","Votre besoin a été soumis à la coopérative","","","",""
"4","CLIP_UI_137","moteur_vocal","","","À bientôt sur Jùlaba","","","",""
"4","CORE_001","moteur_vocal","","","Laisse-moi voir...","","","",""
"4","CORE_002","moteur_vocal","","","Je traite ça...","","","",""
"4","CORE_003","moteur_vocal","","","Attends un moment...","","","",""
"4","CORE_004","moteur_vocal","","","Un instant, j'enregistre...","","","",""
"4","CORE_005","moteur_vocal","","","Excuse-moi, je recommence...","","","",""
"4","CORE_006","moteur_vocal","","","Un instant, je réessaie...","","","",""
"4","CORE_007","moteur_vocal","","","Je réfléchis encore...","","","",""
"4","CORE_008","moteur_vocal","","","D'accord !","","","",""
"4","CORE_009","moteur_vocal","","","Voilà !","","","",""
"4","CORE_010","moteur_vocal","","","Ça marche !","","","",""
"4","CORE_011","moteur_vocal","","","Top !","","","",""
"4","CORE_012","moteur_vocal","","","Bravo, continue comme ça !","","","",""
"4","CORE_013","moteur_vocal","","","Super, tu travailles bien !","","","",""
"4","CORE_014","moteur_vocal","","","Excellent !","","","",""
"4","CORE_015","moteur_vocal","","","Tu gères bien !","","","",""
"4","CORE_016","moteur_vocal","","","C'est du bon travail !","","","",""
"4","CORE_017","moteur_vocal","","","Cette réponse est affichée. Son clip Tantie Nanti Lou n’est pas encore enregistré.","","","",""
"4","CORE_018","moteur_vocal","","lang","Le pack vocal {lang} n’est pas encore installé. Le texte reste disponible, sans utiliser Internet.","","","",""
"4","CORE_019","moteur_vocal","","","Analyse en cours...","","","",""
"4","CORE_020","moteur_vocal","","","Enregistrement impossible.","","","",""
"4","CORE_021","moteur_vocal","","","J'écoute...","","","",""
"4","CORE_022","moteur_vocal","","","Je prépare ta voix…","","","",""
"4","CORE_023","moteur_vocal","","","Je n'ai pas réussi à t'écouter, réessaie.","","","",""
"4","CORE_024","moteur_vocal","","","Je n'ai pas réussi, réessaie.","","","",""
"4","CORE_025","moteur_vocal","","","Micro non accessible dans cette application. Ouvre Jùlaba dans Safari ou Chrome pour utiliser la voix.","","","",""
"4","CORE_026","moteur_vocal","","","Microphone inaccessible. Vérifie les permissions.","","","",""
"4","CORE_027","moteur_vocal","","","Accès au micro refusé. Autorise le micro pour Jùlaba dans les réglages de ton téléphone.","","","",""
"4","CORE_028","moteur_vocal","","","Micro introuvable ou déjà utilisé par une autre application. Vérifie ton micro et réessaie.","","","",""
"4","CORE_ACK_01","moteur_vocal","","","C'est fait !","","C'est fait net !","CORE_ACK_01 · Accusé",""
"4","CORE_ACK_02","moteur_vocal","","","Bien reçu !","","C'est bien reçu !","CORE_ACK_02 · Accusé",""
"4","CORE_ACK_03","moteur_vocal","","","Je note ça !","","J'ai calé ça !","CORE_ACK_03 · Accusé",""
"4","CORE_ACK_04","moteur_vocal","","","C'est noté !","","C'est noté deh !","CORE_ACK_04 · Accusé",""
"4","CORE_ACK_05","moteur_vocal","","","C'est enregistré !","","C'est bien enregistré !","CORE_ACK_05 · Accusé",""
"4","CORE_ACK_06","moteur_vocal","","","C'est noté, ta vente est bien enregistrée.","","C'est calé, ta vente est bien entrée dans la machine.","CORE_ACK_06 · Vente validée",""
"4","CORE_ACK_07","moteur_vocal","","","D'accord, j'annule. Pas de souci.","","D'accord, j'annule ça. Y'a pas de souci.","CORE_ACK_07 · Annulation",""
"4","CORE_ERR_01","moteur_vocal","","","Je n'ai pas bien compris. Redis-moi ça autrement, s'il te plaît.","","Je n'ai pas bien capté. Faut me redire ça autrement, s'il te plaît.","CORE_ERR_01 · Non compris",""
"4","CORE_ERR_02","moteur_vocal","","","Je n'ai rien entendu. Réessaie, parle un peu plus fort.","","Je n'ai rien entendu, deh. Réessaie en haussant un peu la voix.","CORE_ERR_02 · Silence",""
"4","CORE_ERR_04","moteur_vocal","","","Touche Oui ou Non à l'écran, s'il te plaît.","","Appuie sur Oui ou sur Non sur l'écran.","CORE_ERR_04 · Choix écran",""
"4","CORE_SYS_01","moteur_vocal","","","Je prépare ta voix, un petit instant.","","Je chauffe ma voix un coup, patiente deux minutes.","CORE_SYS_01 · Moteur vocal",""
"4","CORE_SYS_02","moteur_vocal","","","Je n'ai pas réussi à préparer ta voix. Vérifie le réseau et réessaie.","","La voix n'est pas sortie. Regarde ton réseau et puis réessaie. »3. Vente Vocale, Caisse &amp; Vivrier Marchand","CORE_SYS_02 · Erreur réseau",""
"4","CORE_WAIT_01","moteur_vocal","","","Je réfléchis...","","Je regarde ça un coup...","CORE_WAIT_01 · Attente",""
"4","CORE_WAIT_02","moteur_vocal","","","Un instant...","","Attends deux minutes...","CORE_WAIT_02 · Attente",""
"4","CORE_WAIT_03","moteur_vocal","","","Je vois ça...","","Je vérifie ça tout de suite...","CORE_WAIT_03 · Attente",""
"4","CORE_WAIT_04","moteur_vocal","","","Je m'en occupe...","","Je gère ça pour toi...","CORE_WAIT_04 · Attente",""
"4","CORE_WAIT_05","moteur_vocal","","","Je calcule ça...","","Je fais le point...","CORE_WAIT_05 · Calcul",""
"4","CORE_WAIT_06","moteur_vocal","","","Je note ta vente...","","J'enregistre ta vente là tout de suite...","CORE_WAIT_06 · Vente",""
"4","CORE_WAIT_07","moteur_vocal","","","Laisse-moi réessayer...","","Laisse-moi relancer encore...","CORE_WAIT_07 · Réessai",""
"4","PARTAGE_001","partage","","","Ouverture des détails de la carte d'identité","","","",""
"4","PARTAGE_002","partage","","","Ouverture des détails de l'attestation d'activité","","","",""
"4","PARTAGE_003","partage","","prenoms nom label","Fiche de {prenoms} {nom}, {label}","","","",""
"4","PARTAGE_004","partage","","montantFormate modePaiement","Paiement de {montantFormate} validé par {modePaiement}.","","","",""
"4","PARTAGE_005","partage","","","Journée réduite","","","",""
"4","PARTAGE_006","partage","","","Détails de la journée","","","",""
"4","PARTAGE_007","partage","","label description points","{label}. {description}. Cela te rapportera {points} points","","","",""
"4","REGLAGE_VOIX_COMPLET","moteur_vocal","","","D'accord. Je te dis tout.","","","",""
"4","REGLAGE_VOIX_ESSENTIEL","moteur_vocal","","","D'accord. Je dirai seulement l'argent et les comptes.","","","",""
"4","TATA_LISTE_ET","partage","",""," et ","","","",""
"4","TATA_LISTE_VIRGULE","partage","","",", ","","","",""
"5","CONTEXTE_001","contexte","oui","fondRetenu","Ta journée est déjà ouverte avec {fondRetenu} francs. Pour changer ce montant, touche Modifier le fond.","","","",""
"5","AKWABA_ACCUEIL","auth","","","Akwaba. Pour vendre, touche un produit, ou parle à Tantie Nanti Lou. On est ensemble.","","","",""
"5","AKWABA_RETOUR","auth","","","Re-bonjour ! On y va.","","","",""
"5","AUTH_001","auth","","","Tape le code que tu as reçu, puis choisis ton code secret à quatre chiffres. Personne d'autre ne doit le connaître.","","","",""
"5","AUTH_002","auth","","","Compte activé ! Tu peux maintenant te connecter avec ton code.","","","",""
"5","AUTH_003","auth","","","Effacé.","","","",""
"5","AUTH_004","auth","","","Voilà, tu peux parler maintenant. Touche le micro et dis ton numéro.","","","",""
"5","AUTH_005","auth","","","Maintenant, des images à la place des chiffres.","","","",""
"5","AUTH_006","auth","","","Retour aux chiffres.","","","",""
"5","AUTH_007","auth","","","C'est fait. Je m'adapte à toi.","","","",""
"5","AUTH_008","auth","","","Pour que je puisse t'écouter, je vérifie ma voix. Touche le bouton, ou tape ton numéro.","","","",""
"5","AUTH_009","auth","","prenom","{prenom}, veux-tu que Tantie Nanti Lou te reconnaisse la prochaine fois ? Ce sera plus rapide.","","","",""
"5","AUTH_01","auth","","","Bonjour ma fille. Moi, c'est Tantie Nanti Lou. Viens, je vais te montrer.","","Bonjour ma fille. Moi, c'est Tantie Nanti Lou. Viens, je vais te montrer comment on fait.","01 · Premier accueil",""
"5","AUTH_010","auth","","","C'est fait ! La prochaine fois, ton téléphone te reconnaîtra.","","","",""
"5","AUTH_011","auth","","","Ta session a expiré. Reconnecte-toi, puis on réessaiera.","","","",""
"5","AUTH_012","auth","","","Ça n'a pas marché ici. Tu pourras réessayer plus tard dans les réglages.","","","",""
"5","AUTH_013","auth","","","retour","","","",""
"5","AUTH_014","auth","","","accueil","","","",""
"5","AUTH_015","auth","","","Code correct. Action confirmée","","","",""
"5","AUTH_016","auth","","attempts","Code incorrect. {attempts} tentative(s) restante(s)","","","",""
"5","AUTH_017","auth","","version build","Version {version}, {build}","","","",""
"5","AUTH_02","auth","","","Eh, ma fille ! Te voilà. On continue ?","","Eh, ma fille ! Te voilà. On continue, non ?","02 · Retour",""
"5","AUTH_03","auth","","","Chaque vente, tu la mets ici. Comme ça, tu n'oublies rien, et tes comptes sont là.","","Chaque vente, tu mets ça ici. Comme ça là, tu n'oublies rien et tout ton point est là.","03 · Présenter son aide",""
"5","AUTH_04","auth","","","Bon, pour commencer, appuie ici.","","Bon, pour commencer là, appuie ici.","04 · Commencer",""
"5","AUTH_05","auth","","","Mets ton numéro de téléphone ici.","","Mets ton numéro de téléphone ici.","05 · Demander le numéro",""
"5","AUTH_06","auth","","","Tu peux aussi me le dire. Appuie sur le micro d'abord.","","Tu peux me dicter aussi, hein. Appuie sur le micro d'abord.","06 · Proposer la voix",""
"5","AUTH_07","auth","","","Dis les chiffres doucement doucement, un par un.","","Dis les chiffres doucement doucement, un à un.","07 · Expliquer la dictée",""
"5","AUTH_08","auth","","","Tu veux réécouter ? Appuie ici.","","Tu veux réécouter ça ? Appuie ici.","08 · Écouter le numéro",""
"5","AUTH_09","auth","","","C'est bien ton numéro ? Appuie ici pour continuer.","","C'est bien ton numéro, non ? Appuie ici pour avancer.","09 · Confirmer",""
"5","AUTH_10","auth","","","Tu t'es trompée ? C'est rien, y'a pas problème. Appuie ici pour effacer.","","Tu t'es trompée ? Y'a pas problème, c'est rien. Appuie ici pour effacer.","10 · Corriger",""
"5","AUTH_11","auth","","","Il manque encore des chiffres. Continue.","","Il manque encore des chiffres dedans. Continue.","11 · Numéro incomplet",""
"5","AUTH_12","auth","","","Regarde bien, il y a un chiffre qui ne va pas.","","Regarde bien, y'a un chiffre qui n'est pas bon dedans.","12 · Numéro invalide",""
"5","AUTH_13","auth","","","Je n'ai pas bien entendu. Redis-le, doucement.","","Je n'ai pas bien entendu, deh. Redis-moi ça doucement.","13 · Dictée mal comprise",""
"5","AUTH_14","auth","","","Si tu veux, tape ton numéro ici.","","Si tu veux, tape ton numéro directement ici.","14 · Proposer le clavier",""
"5","AUTH_15","auth","","","Pour que je t'entende, appuie sur Autoriser.","","Pour que je puisse bien t'entendre, appuie sur ""Autoriser"".","15 · Autorisation micro",""
"5","AUTH_16","auth","","","Le micro ne marche pas là. Tape ton numéro ici.","","Le micro ne prend pas là. Faut taper ton numéro ici.","16 · Micro indisponible",""
"5","AUTH_17","auth","","","C'est bon. Appuie sur le micro, et parle.","","C'est bon maintenant. Appuie sur le micro et puis parle.","17 · Micro disponible",""
"5","AUTH_18","auth","","","Attends un peu, je regarde.","","Attends un peu, je vérifie ça pour toi.","18 · Vérification",""
"5","AUTH_19","auth","","","Bon, mets les quatre chiffres de ton code.","","Bon, mets les quatre chiffres de ton code secret.","19 · Code en chiffres",""
"5","AUTH_20","auth","","","Appuie sur tes quatre images, une par une, dans l'ordre.","","Appuie sur tes quatre photos, une à une, comme tu avais choisi là.","20 · Code en images",""
"5","AUTH_21","auth","","","Voilà les images à la place des chiffres. Ton code n'a pas changé.","","Voilà les photos qui sont sorties à la place des chiffres. Ton code n'a pas changé.","21 · Passage aux images",""
"5","AUTH_22","auth","","","Et voilà les chiffres. Mets ton code comme avant.","","Voilà les chiffres maintenant. Mets ton code comme d'habitude.","22 · Retour aux chiffres",""
"5","AUTH_23","auth","","","Ton code, c'est pour toi seule. Faut pas le dire à quelqu'un.","","Ton code là, c'est pour toi seule. Faut jamais montrer ou dire ça à quelqu'un.","23 · Discrétion",""
"5","AUTH_24","auth","","","C'est effacé.","","C'est effacé net.","24 · Effacement",""
"5","AUTH_25","auth","","","Appuie ici. Ton téléphone va te dire quoi faire.","","Appuie ici. Ton propre téléphone va te guider.","25 · Entrer avec téléphone",""
"5","AUTH_26","auth","","","Ça n'a pas marché. On fait avec ton code.","","Ça n'a pas pris. On passe par ton code directement.","26 · Reconnaissance échouée",""
"5","AUTH_27","auth","","","Ce n'est pas toi ? Y'a pas problème, appuie ici pour mettre ton numéro.","","Ce n'est pas toi ? Y'a pas problème, appuie ici pour taper ton numéro.","27 · Autre personne",""
"5","AUTH_28","auth","","","Le numéro ou le code n'est pas bon. Regarde bien pour reprendre.","","Le numéro ou le code n'est pas bon, deh. Regarde bien avant de reprendre.","28 · Erreur identifiant",""
"5","AUTH_29","auth","","","Attention, il te reste un seul essai. Prends ton temps.","","Attention, hein ! Il te reste une seule chance. Prends bien ton temps.","29 · Dernier essai",""
"5","AUTH_30","auth","","","Tu as essayé trop de fois. Attends un peu avant de reprendre.","","Tu as trop forcé. Patiente un peu d'abord avant de réessayer.","30 · Trop de tentatives",""
"5","AUTH_31","auth","","","Ma fille, là c'est bloqué. Faut voir ton agent pour t'aider.","","Ma fille, là c'est bloqué net. Faut aller voir ton agent pour te débloquer.","31 · Accès bloqué",""
"5","AUTH_32","auth","","","Eh, ça ne passe pas là. Réessaie dans un petit moment.","","Eh, le réseau ne passe pas là ! Réessaie dans un petit moment.","32 · Connexion impossible",""
"5","AUTH_33","auth","","","Ça prend un peu de temps. Patiente, je réessaie.","","Ça pèse un peu. Patiente, je suis en train de relancer.","33 · Tentative auto",""
"5","AUTH_34","auth","","","Maintenant, choisis ton propre code. C'est pour toi seule.","","Maintenant là, choisis ton propre code secret. C'est pour toi seule, hein.","34 · Nouveau code",""
"5","AUTH_35","auth","","","D'accord, on va faire comme ça.","","D'accord, c'est calé comme ça.","35 · Choix enregistré",""
"5","AUTH_36","auth","","","D'accord, on continue comme avant.","","D'accord, on continue comme d'habitude.","36 · Choix conservé",""
"5","AUTH_37","auth","","","Voilà, ma fille. On y va !","","Voilà, ma fille. Allons-y ! »2. Pipeline Vocal Core (Attentes, accusés et alertes système)","37 · Fin de l'accueil",""
"5","ENTREE_CODE","auth","","","Entre ton code secret à quatre chiffres.","","","",""
"5","ENTREE_CONNEXION","auth","","","La connexion ne passe pas pour le moment. Attends un peu, puis réessaie.","","","",""
"5","ENTREE_NUMERO","auth","","","Tape les chiffres de ton numéro, un par un. Les ronds en haut vont se remplir.","","","",""
"5","ENTREE_NUMERO_VOIX","auth","","","Dis ton numéro, ou tape les chiffres un par un. Les ronds en haut vont se remplir.","","","",""
"5","ENTREE_RECONNAISSANCE","auth","","","Touche le grand bouton. Ton téléphone va te reconnaître.","","","",""
"5","INTRO_ACCUEIL","auth","","","Bonjour ! Moi, c'est Tantie Nanti Lou. Je serai avec toi pour vendre, compter ton argent et faire grandir ton commerce. Beaucoup de commerçantes travaillent déjà avec moi. Maintenant, c'est ton tour. On commence ?","","","",""
"5","INTRO_BRAVO","auth","","","Bravo ! Nous sommes prêtes. Ouvrons ta boutique.","","","",""
"5","INTRO_HISTOIRE1","auth","","","Je serai avec toi chaque jour dans ton commerce. On est ensemble.","","","",""
"5","INTRO_HISTOIRE2","auth","","","Tu vends. J'enregistre. Je compte. Tu sais toujours combien tu gagnes.","","","",""
"5","INTRO_HISTOIRE3","auth","","","Tu peux me parler, ou utiliser le clavier. C'est toi qui décides.","","","",""
"5","INTRO_HISTOIRE4","auth","","","Tout est prêt. Ouvrons ta boutique.","","","",""
"5","INTRO_MODE","auth","","","Comment préfères-tu travailler avec moi ? Le plus simple : laisse-moi choisir, je m'adapte à toi. Sinon : je sais lire et écrire, ou je lis un peu, ou je préfère parler. Il n'y a pas de mauvais choix.","","","",""
"5","INTRO_RETOUR","auth","","","Re-bonjour ! On y va.","","","",""
"5","INTRO_VOIXINSTALL","auth","","","Pour que je puisse t'écouter et te parler partout, même sans réseau : ta voix est déjà dans l'application, je la vérifie, c'est tout. Rien à télécharger.","","","",""
"5","NUM_0","auth","","","Zéro","","","",""
"5","NUM_1","auth","","","Un","","","",""
"5","NUM_2","auth","","","Deux","","","",""
"5","NUM_3","auth","","","Trois","","","",""
"5","NUM_4","auth","","","Quatre","","","",""
"5","NUM_5","auth","","","Cinq","","","",""
"5","NUM_6","auth","","","Six","","","",""
"5","NUM_7","auth","","","Sept","","","",""
"5","NUM_8","auth","","","Huit","","","",""
"5","NUM_9","auth","","","Neuf","","","",""
"5","PAGE_001","pages","","","Merci !","","","",""
"5","TANTIE_BRAVO","auth","","","Bravo ! Nous sommes prêtes. Ouvrons ta boutique.","","","",""
"5","TANTIE_PRESENTATION","auth","","","Je serai avec toi chaque jour dans ton commerce. Tu peux toucher l'écran. Tu peux aussi écouter. On est ensemble.","","","",""
"6","MARCHE_001","marketplace","oui","productName quantity price sellerName sellerScore","{productName}, {quantity} kilogrammes à {price} francs CFA le kilo. Vendeur: {sellerName}, score {sellerScore} sur 100","","","",""
"7","WALLET_003","wallet","oui","selectedMontant","{selectedMontant} francs CFA","","","",""
